--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::softmax         0.07%       8.476us         1.76%     220.414us     220.414us       0.000us         0.00%       2.624us       2.624us           0 B           0 B      28.00 KB           0 B             1  
                                       aten::linalg_svd         0.06%       7.488us        60.73%       7.623ms       7.623ms       0.000us         0.00%       3.799ms       3.799ms           0 B           0 B     143.50 KB           0 B             1  
                                            aten::clone         0.06%       7.239us         0.42%      52.152us      52.152us       0.000us         0.00%       2.560us       2.560us           0 B           0 B      79.00 KB           0 B             1  
                                               aten::to         0.05%       6.603us         0.78%      97.835us      48.918us       0.000us         0.00%       3.904us       1.952us           4 B           0 B         512 B           0 B             2  
                                      aten::as_strided_         0.05%       5.914us         0.05%       5.914us       5.914us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::mT         0.04%       5.561us         0.16%      19.923us       9.961us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::transpose_         0.04%       5.215us         0.09%      11.129us      11.129us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                         aten::diagonal         0.04%       4.687us         0.05%       5.992us       5.992us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                             aten::diag         0.04%       4.640us         1.09%     137.289us     137.289us       0.000us         0.00%       3.680us       3.680us           0 B           0 B       8.00 KB           0 B             1  
                                          aten::view_as         0.04%       4.415us         0.06%       7.023us       7.023us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                             aten::item         0.03%       3.813us         0.25%      31.312us      31.312us       0.000us         0.00%       1.408us       1.408us           0 B           0 B           0 B           0 B             1  
                                       aten::empty_like         0.03%       3.562us         0.10%      12.754us      12.754us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      79.00 KB           0 B             1  
                                             aten::view         0.02%       2.608us         0.02%       2.608us       2.608us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
