-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd        61.74%      57.058ms        94.47%      87.312ms      87.312ms       4.478ms        98.20%     259.728ms     259.728ms           0 B          -4 B     272.00 KB      64.00 KB             1  
                       Runtime Triggered Module Loading        18.09%      16.722ms        18.09%      16.722ms     557.410us     134.332ms      2946.12%     134.332ms       4.478ms           0 B           0 B           0 B           0 B            30  
                                       cudaLaunchKernel         5.55%       5.125ms        24.68%      22.808ms      44.721us       0.000us         0.00%     250.775ms     491.716us           0 B           0 B           0 B           0 B           510  
                                Activity Buffer Request         3.20%       2.954ms         3.20%       2.954ms       1.477ms       1.824us         0.04%       1.824us       0.912us           0 B           0 B           0 B           0 B             2  
                              cudaStreamCreateWithFlags         2.56%       2.370ms         2.56%       2.370ms     790.043us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                        cudaMemcpyAsync         2.33%       2.152ms         2.33%       2.152ms     126.606us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                          ProfilerStep*         1.63%       1.508ms        97.84%      90.424ms      45.212ms       0.000us         0.00%     259.833ms     129.916ms           8 B           8 B       1.06 MB      -3.63 MB             2  
                                  Lazy Function Loading         1.23%       1.138ms         1.23%       1.138ms      34.471us     120.940ms      2652.41%     120.940ms       3.665ms           0 B           0 B           0 B           0 B            33  
                                             cudaMalloc         0.98%     902.496us         0.98%     902.496us      69.423us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
                                            aten::zeros         0.29%     271.060us         1.62%       1.501ms     750.391us       0.000us         0.00%       7.424us       3.712us           0 B           0 B       8.50 KB           0 B             2  
