--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.112us         5.51%       2.112us       2.112us           0 B           0 B           0 B           0 B             1  
                                  volta_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us       6.944us        18.11%       6.944us       6.944us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.561ms
Self CUDA time total: 38.336us


--- Iteration 1 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        50.24%       1.976ms        50.24%       1.976ms       1.976ms       3.008us         5.85%       3.008us       3.008us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        17.62%     692.754us        95.29%       3.747ms     340.651us       0.000us         0.00%      54.463us       4.951us     286.00 KB           8 B     625.50 KB           0 B            11  
                                       cudaLaunchKernel         9.79%     384.813us         9.79%     384.813us      76.963us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        cudaMemcpyAsync         9.21%     362.364us         9.21%     362.364us     181.182us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::mm         2.51%      98.662us        10.79%     424.440us     106.110us      15.551us        30.22%      31.102us       7.776us           0 B           0 B     387.00 KB     193.50 KB             4  
                                              aten::cat         1.61%      63.327us       120.48%       4.738ms       2.369ms       3.008us         5.85%      12.032us       6.016us           0 B           0 B     572.00 KB     286.00 KB             2  
                                         aten::_softmax         1.49%      58.519us         4.05%     159.082us      79.541us       2.688us         5.22%       5.376us       2.688us           0 B           0 B     101.00 KB      50.50 KB             2  
                                    aten::empty_strided         1.05%      41.276us         1.05%      41.276us      20.638us       0.000us         0.00%       0.000us       0.000us     286.00 KB     286.00 KB      45.00 KB      45.00 KB             2  
                                              aten::div         1.01%      39.912us         4.05%     159.107us      79.553us       1.601us         3.11%       3.202us       1.601us          -8 B          -8 B     101.00 KB      50.50 KB             2  
                                         aten::_to_copy         0.88%      34.744us        27.99%       1.101ms     275.155us       0.000us         0.00%      57.214us      14.304us     572.00 KB           0 B      90.00 KB           0 B             4  
                                            aten::copy_         0.82%      32.205us        10.39%     408.529us     204.265us      28.607us        55.60%      28.607us      14.304us           0 B           0 B           0 B           0 B             2  
                                            aten::split         0.45%      17.729us         3.30%     129.800us      64.900us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.38%      15.114us         0.38%      15.114us       7.557us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaStreamSynchronize         0.35%      13.960us         0.35%      13.960us       6.980us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::permute         0.33%      12.912us         1.42%      55.849us      27.924us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.28%      11.120us        16.22%     637.800us     212.600us       0.000us         0.00%      28.607us       9.536us     286.00 KB           0 B      45.00 KB           0 B             3  
                                       aten::lift_fresh         0.26%      10.280us         2.72%     106.983us      53.492us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::chunk         0.25%       9.959us         2.89%     113.589us     113.589us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::matmul         0.20%       7.727us         7.67%     301.484us     150.742us       0.000us         0.00%      15.551us       7.776us           0 B           0 B     193.50 KB           0 B             2  
                                            aten::slice         0.19%       7.449us         0.28%      10.848us       5.424us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::narrow         0.18%       7.079us         0.46%      17.927us       8.963us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::detach         0.15%       5.940us         1.51%      59.343us      19.781us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.14%       5.664us         0.14%       5.664us       2.832us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                                 detach         0.13%       5.270us         1.36%      53.403us      26.702us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::as_strided         0.11%       4.352us         0.11%       4.352us       1.451us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                          aten::numpy_T         0.10%       3.998us         1.40%      54.938us      54.938us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          aten::softmax         0.09%       3.699us         3.26%     128.101us     128.101us       0.000us         0.00%       2.688us       2.688us           0 B           0 B      50.50 KB           0 B             1  
                                          aten::detach_         0.07%       2.767us         0.11%       4.336us       4.336us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                detach_         0.04%       1.569us         0.04%       1.569us       1.569us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
