--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::div         1.47%      42.739us         6.06%     176.311us      88.156us       1.984us         6.55%       3.968us       1.984us          -8 B          -8 B     644.00 KB     322.00 KB             2  
                                             aten::triu         1.06%      30.738us         5.20%     151.230us      75.615us       4.000us        13.20%       8.000us       4.000us           0 B           0 B     644.00 KB     322.00 KB             2  
                                              aten::add         0.98%      28.523us         4.02%     116.925us      58.462us       1.856us         6.12%       3.712us       1.856us           0 B           0 B     644.00 KB     322.00 KB             2  
                                             aten::full         0.91%      26.477us       137.09%       3.989ms       1.995ms       0.000us         0.00%       5.756us       2.878us           0 B           0 B     644.00 KB           0 B             2  
                                            aten::empty         0.70%      20.312us         0.70%      20.312us      20.312us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     322.00 KB     322.00 KB             1  
                                            aten::fill_         0.61%      17.842us        65.34%       1.901ms       1.901ms       1.439us         4.75%       2.878us       2.878us           0 B           0 B           0 B           0 B             1  
                                        aten::transpose         0.51%      14.870us         2.43%      70.595us      35.298us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.46%      13.399us         0.46%      13.399us       6.700us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.30%       8.853us        11.03%     321.014us     160.507us       0.000us         0.00%      16.992us       8.496us           0 B           0 B     465.50 KB           0 B             2  
                                          aten::softmax         0.29%       8.381us         4.98%     144.935us     144.935us       0.000us         0.00%       4.033us       4.033us           0 B           0 B     322.00 KB           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.12%       3.517us         0.12%       3.517us       3.517us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.11%       3.273us         0.11%       3.273us       3.273us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.10%       2.812us         0.10%       2.812us       2.812us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.06%       1.684us         0.17%       4.957us       4.957us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.439us         4.75%       1.439us       1.439us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        13.20%       4.000us       4.000us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           8 B           8 B    -966.00 KB    -966.00 KB             4  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       8.128us        26.82%       8.128us       8.128us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.984us         6.55%       1.984us       1.984us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856us         6.12%       1.856us       1.856us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.033us        13.31%       4.033us       4.033us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       6.720us        22.18%       6.720us       6.720us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.144us         7.07%       2.144us       2.144us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.910ms
Self CUDA time total: 30.304us


--- Iteration 2 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        50.87%       1.421ms        50.87%       1.421ms       1.421ms       1.952us         6.19%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        17.79%     496.899us        94.70%       2.645ms     330.577us       0.000us         0.00%      33.503us       4.188us           0 B           8 B       2.41 MB           0 B             8  
                                       cudaLaunchKernel        17.53%     489.586us        17.53%     489.586us      61.198us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                               aten::mm         3.54%      98.893us        14.58%     407.139us     101.785us      17.504us        55.48%      35.008us       8.752us           0 B           0 B       1.06 MB     542.50 KB             4  
                                         aten::_softmax         2.34%      65.272us         5.30%     148.038us      74.019us       4.223us        13.38%       8.446us       4.223us           0 B           0 B     771.00 KB     385.50 KB             2  
                                              aten::div         1.40%      39.055us         5.73%     160.006us      80.003us       1.856us         5.88%       3.712us       1.856us          -8 B          -8 B     771.00 KB     385.50 KB             2  
                                            aten::empty         1.09%      30.399us         1.09%      30.399us      30.399us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     385.50 KB     385.50 KB             1  
                                             aten::triu         1.05%      29.439us         5.41%     151.095us      75.547us       4.128us        13.08%       8.256us       4.128us           0 B           0 B     771.00 KB     385.50 KB             2  
                                              aten::add         0.94%      26.302us         3.99%     111.468us      55.734us       1.888us         5.98%       3.776us       1.888us           0 B           0 B     771.00 KB     385.50 KB             2  
                                             aten::full         0.91%      25.452us       138.37%       3.864ms       1.932ms       0.000us         0.00%       7.808us       3.904us           0 B           0 B     771.00 KB           0 B             2  
                                            aten::fill_         0.61%      16.968us        65.70%       1.835ms       1.835ms       1.952us         6.19%       3.904us       3.904us           0 B           0 B           0 B           0 B             1  
                                        aten::transpose         0.54%      14.967us         2.57%      71.829us      35.915us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.44%      12.427us         0.44%      12.427us       6.213us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.28%       7.934us        10.69%     298.506us     149.253us       0.000us         0.00%      17.504us       8.752us           0 B           0 B     542.50 KB           0 B             2  
                                          aten::softmax         0.23%       6.314us         4.64%     129.663us     129.663us       0.000us         0.00%       4.223us       4.223us           0 B           0 B     385.50 KB           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.14%       3.843us         0.14%       3.843us       3.843us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.12%       3.311us         0.12%       3.311us       3.311us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.11%       3.008us         0.11%       3.008us       3.008us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.07%       1.958us         0.19%       5.269us       5.269us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         6.19%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.128us        13.08%       4.128us       4.128us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           8 B           8 B      -1.13 MB      -1.13 MB             4  
                         volta_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       8.416us        26.67%       8.416us       8.416us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856us         5.88%       1.856us       1.856us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.888us         5.98%       1.888us       1.888us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.223us        13.38%       4.223us       4.223us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       6.944us        22.01%       6.944us       6.944us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.144us         6.80%       2.144us       2.144us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.793ms
Self CUDA time total: 31.551us


--- Iteration 3 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        51.67%       1.486ms        51.67%       1.486ms       1.486ms       2.400us         7.55%       2.400us       2.400us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        17.88%     514.056us        17.88%     514.056us      64.257us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                     PythonDispatchMode        16.51%     474.780us        94.88%       2.728ms     340.983us       0.000us         0.00%      34.209us       4.276us           0 B           8 B       2.38 MB           0 B             8  
                                               aten::mm         3.45%      99.311us        14.11%     405.621us     101.405us      17.440us        54.83%      34.880us       8.720us           0 B           0 B       1.05 MB     536.50 KB             4  
                                         aten::_softmax         2.26%      64.985us         5.18%     148.998us      74.499us       4.225us        13.28%       8.450us       4.225us           0 B           0 B     761.00 KB     380.50 KB             2  
                                             aten::full         1.47%      42.207us       141.95%       4.081ms       2.041ms       0.000us         0.00%       9.600us       4.800us           0 B           0 B     761.00 KB           0 B             2  
                                              aten::div         1.35%      38.915us         5.22%     150.180us      75.090us       1.824us         5.73%       3.648us       1.824us          -8 B          -8 B     761.00 KB     380.50 KB             2  
                                            aten::empty         1.11%      31.838us         1.11%      31.838us      31.838us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     380.50 KB     380.50 KB             1  
                                             aten::triu         0.94%      27.012us         4.71%     135.331us      67.666us       4.064us        12.78%       8.128us       4.064us           0 B           0 B     761.00 KB     380.50 KB             2  
                                              aten::add         0.94%      26.887us         3.85%     110.835us      55.418us       1.856us         5.83%       3.712us       1.856us           0 B           0 B     761.00 KB     380.50 KB             2  
                                            aten::fill_         0.60%      17.214us        67.03%       1.927ms       1.927ms       2.400us         7.55%       4.800us       4.800us           0 B           0 B           0 B           0 B             1  
                                        aten::transpose         0.52%      15.082us         2.44%      70.073us      35.036us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.42%      12.194us         0.42%      12.194us       6.097us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.28%       8.051us        10.33%     297.054us     148.527us       0.000us         0.00%      17.440us       8.720us           0 B           0 B     536.50 KB           0 B             2  
                                          aten::softmax         0.19%       5.557us         4.48%     128.786us     128.786us       0.000us         0.00%       4.225us       4.225us           0 B           0 B     380.50 KB           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.13%       3.619us         0.13%       3.619us       3.619us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.12%       3.391us         0.12%       3.391us       3.391us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.10%       2.957us         0.10%       2.957us       2.957us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.06%       1.609us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.400us         7.55%       2.400us       2.400us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.064us        12.78%       4.064us       4.064us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           8 B           8 B      -1.11 MB      -1.11 MB             4  
                         volta_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       8.320us        26.16%       8.320us       8.320us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.824us         5.73%       1.824us       1.824us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856us         5.83%       1.856us       1.856us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.225us        13.28%       4.225us       4.225us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       6.912us        21.73%       6.912us       6.912us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208us         6.94%       2.208us       2.208us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.875ms
Self CUDA time total: 31.809us


--- Iteration 4 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        29.09%     583.790us        29.09%     583.790us     583.790us       2.368us         7.38%       2.368us       2.368us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        26.79%     537.560us        26.79%     537.560us      67.195us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                     PythonDispatchMode        24.04%     482.419us        92.09%       1.848ms     230.971us       0.000us         0.00%      34.463us       4.308us           0 B           8 B       2.43 MB           0 B             8  
                                               aten::mm         5.20%     104.417us        20.95%     420.343us     105.086us      17.728us        55.24%      35.456us       8.864us           0 B           0 B       1.07 MB     545.50 KB             4  
                                         aten::_softmax         3.71%      74.355us         8.05%     161.526us      80.763us       4.256us        13.26%       8.512us       4.256us           0 B           0 B     776.00 KB     388.00 KB             2  
                                              aten::div         2.03%      40.668us         7.68%     154.028us      77.014us       1.856us         5.78%       3.712us       1.856us          -8 B          -8 B     776.00 KB     388.00 KB             2  
                                             aten::triu         1.57%      31.405us         7.18%     144.047us      72.024us       3.999us        12.46%       7.998us       3.999us           0 B           0 B     776.00 KB     388.00 KB             2  
                                              aten::add         1.41%      28.382us         5.70%     114.306us      57.153us       1.888us         5.88%       3.776us       1.888us           0 B           0 B     776.00 KB     388.00 KB             2  
                                             aten::full         1.24%      24.904us       113.42%       2.276ms       1.138ms       0.000us         0.00%       9.472us       4.736us           0 B           0 B     776.00 KB           0 B             2  
                                            aten::empty         1.14%      22.922us         1.14%      22.922us      22.922us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     388.00 KB     388.00 KB             1  
                                            aten::fill_         0.90%      18.155us        52.25%       1.048ms       1.048ms       2.368us         7.38%       4.736us       4.736us           0 B           0 B           0 B           0 B             1  
                                        aten::transpose         0.79%      15.885us         3.68%      73.856us      36.928us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.67%      13.463us         0.67%      13.463us       6.731us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.42%       8.373us        15.24%     305.790us     152.895us       0.000us         0.00%      17.728us       8.864us           0 B           0 B     545.50 KB           0 B             2  
                                          aten::softmax         0.31%       6.197us         7.02%     140.809us     140.809us       0.000us         0.00%       4.256us       4.256us           0 B           0 B     388.00 KB           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.20%       3.997us         0.20%       3.997us       3.997us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
