-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd        54.12%      57.894ms        92.47%      98.926ms      32.975ms      13.472ms        98.66%     268.747ms      89.582ms           0 B         -12 B     816.00 KB     192.00 KB             3  
                       Runtime Triggered Module Loading        15.63%      16.722ms        15.63%      16.722ms     557.410us     134.332ms       983.81%     134.332ms       4.478ms           0 B           0 B           0 B           0 B            30  
                                        cudaMemcpyAsync         8.01%       8.571ms         8.01%       8.571ms     168.051us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            51  
                                       cudaLaunchKernel         7.99%       8.546ms        24.52%      26.229ms      17.233us       0.000us         0.00%     250.775ms     164.767us           0 B           0 B           0 B           0 B          1522  
                                Activity Buffer Request         5.14%       5.494ms         5.14%       5.494ms       1.374ms       3.808us         0.03%       3.808us       0.952us           0 B           0 B           0 B           0 B             4  
                              cudaStreamCreateWithFlags         2.22%       2.370ms         2.22%       2.370ms     790.043us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         1.82%       1.950ms        96.29%     103.012ms      25.753ms       0.000us         0.00%     268.929ms      67.232ms          16 B          16 B       2.33 MB      -7.61 MB             4  
                                  Lazy Function Loading         1.06%       1.138ms         1.06%       1.138ms      34.471us     120.940ms       885.73%     120.940ms       3.665ms           0 B           0 B           0 B           0 B            33  
                                             cudaMalloc         0.84%     902.496us         0.84%     902.496us      69.423us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
                                               aten::mm         0.39%     418.885us         0.66%     708.689us      70.869us      95.934us         0.70%     128.733us      12.873us           0 B           0 B       2.54 MB       2.54 MB            10  
