--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zero_         0.06%      15.793us         9.78%       2.703ms     675.691us       0.000us         0.00%       7.456us       1.864us           0 B           0 B           0 B           0 B             4  
                                  cudaDeviceSynchronize         0.06%      15.777us         0.06%      15.777us       7.889us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                                 detach         0.05%      14.509us         0.05%      14.509us       2.073us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                          aten::softmax         0.05%      13.554us         2.15%     592.885us     197.628us       0.000us         0.00%       9.343us       3.114us           0 B           0 B      64.00 KB           0 B             3  
                                          aten::numpy_T         0.04%      12.011us         0.65%     178.423us      59.474us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                           aten::detach         0.04%      11.799us         0.10%      26.308us       3.758us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                               aten::mT         0.04%      10.968us         0.15%      42.342us       7.057us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                          aten::view_as         0.04%      10.418us         0.06%      16.495us       5.498us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                       aten::linalg_svd         0.04%      10.211us        45.57%      12.588ms       6.294ms       0.000us         0.00%       7.523ms       3.762ms           0 B           0 B     287.00 KB           0 B             2  
                                            aten::clone         0.04%       9.783us         0.31%      86.403us      43.201us       0.000us         0.00%       5.312us       2.656us           0 B           0 B     158.00 KB           0 B             2  
                                      aten::as_strided_         0.03%       7.643us         0.03%       7.643us       3.822us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                             aten::item         0.03%       7.500us         0.25%      70.160us      23.387us       0.000us         0.00%       4.256us       1.419us           0 B           0 B           0 B           0 B             3  
                                          aten::resize_         0.03%       7.263us         0.03%       7.263us       7.263us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       8.00 KB       8.00 KB             1  
                                       aten::transpose_         0.03%       7.237us         0.05%      14.880us       7.440us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                             aten::view         0.02%       6.077us         0.02%       6.077us       2.026us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                       aten::empty_like         0.02%       5.853us         0.06%      17.003us       8.502us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     158.00 KB           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.384us         0.06%       4.384us       1.461us           0 B           0 B           0 B           0 B             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.808us         0.10%       7.808us       2.603us           0 B           0 B           0 B           0 B             3  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      10.080us         0.13%      10.080us       1.120us           0 B           0 B           0 B           0 B             9  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      11.454us         0.15%      11.454us       1.273us           0 B           0 B           0 B           0 B             9  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     765.276us         9.94%     765.276us     382.638us           0 B           0 B           0 B           0 B             2  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       8.383us         0.11%       8.383us       1.397us           0 B           0 B           0 B           0 B             6  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     734.400us         9.54%     734.400us       2.869us           0 B           0 B           0 B           0 B           256  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     734.969us         9.54%     734.969us       2.871us           0 B           0 B           0 B           0 B           256  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       2.976us         0.04%       2.976us       1.488us           0 B           0 B           0 B           0 B             2  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us       6.367us         0.08%       6.367us       3.184us           0 B           0 B           0 B           0 B             2  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us       5.600us         0.07%       5.600us       2.800us           0 B           0 B           0 B           0 B             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      30.879us         0.40%      30.879us       1.404us           0 B           0 B           0 B           0 B            22  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us       3.488us         0.05%       3.488us       1.744us           0 B           0 B           0 B           0 B             2  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      26.145us         0.34%      26.145us       6.536us           0 B           0 B           0 B           0 B             4  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      34.178us         0.44%      34.178us       2.136us           0 B           0 B           0 B           0 B            16  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      23.584us         0.31%      23.584us       1.474us           0 B           0 B           0 B           0 B            16  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us       3.762ms        48.85%       3.762ms      38.387us           0 B           0 B           0 B           0 B            98  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     776.755us        10.09%     776.755us       3.963us           0 B           0 B           0 B           0 B           196  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     483.008us         6.27%     483.008us       4.929us           0 B           0 B           0 B           0 B            98  
void gesvdj_diagonal_kernel<float, float, 256>(long,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.944us         0.04%       2.944us       1.472us           0 B           0 B           0 B           0 B             2  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       3.263us         0.04%       3.263us       1.631us           0 B           0 B           0 B           0 B             2  
                void pegasus_set_identy<128>(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       2.337us         0.03%       2.337us       1.168us           0 B           0 B           0 B           0 B             2  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.320us         0.06%       4.320us       2.160us           0 B           0 B           0 B           0 B             2  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us       3.713us         0.05%       3.713us       1.857us           0 B           0 B           0 B           0 B             2  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us       4.257us         0.06%       4.257us       2.129us           0 B           0 B           0 B           0 B             2  
void pegasusIinclusive_scan_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.559us         0.03%       2.559us       1.280us           0 B           0 B           0 B           0 B             2  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.072us         0.04%       3.072us       1.536us           0 B           0 B           0 B           0 B             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.552us         0.20%      15.552us       1.296us           0 B           0 B           0 B           0 B            12  
void pegasus_sortI32_by_oneCTA<256, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      23.072us         0.30%      23.072us      11.536us           0 B           0 B           0 B           0 B             2  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us       9.472us         0.12%       9.472us       2.368us           0 B           0 B           0 B           0 B             4  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us       3.008us         0.04%       3.008us       1.504us           0 B           0 B           0 B           0 B             2  
                         volta_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.760us         0.18%      13.760us       6.880us           0 B           0 B           0 B           0 B             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.168us         0.09%       7.168us       2.389us           0 B           0 B           0 B           0 B             3  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       4.256us         0.06%       4.256us       1.419us           0 B           0 B           0 B           0 B             3  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          32 B          32 B    -254.00 KB    -254.00 KB            18  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      15.584us         0.20%      15.584us       7.792us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.408us         0.07%       5.408us       1.803us           0 B           0 B           0 B           0 B             3  
