--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.720us         5.49%       2.720us       2.720us           0 B           0 B           0 B           0 B             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us        10.02%       4.960us       4.960us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       8.064us        16.29%       8.064us       8.064us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.649ms
Self CUDA time total: 49.505us


--- Iteration 1 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        46.52%       2.016ms        46.52%       2.016ms       2.016ms       1.536us         2.61%       1.536us       1.536us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        18.21%     789.177us        18.21%     789.177us      49.324us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                     PythonDispatchMode        17.48%     757.378us        93.04%       4.031ms     335.954us       0.000us         0.00%      60.323us       5.027us           0 B           0 B       1.83 MB           0 B            12  
                                               aten::mm         2.80%     121.409us        11.55%     500.276us     125.069us      23.650us        40.23%      47.300us      11.825us           0 B           0 B     926.00 KB     463.00 KB             4  
                                              aten::mul         2.40%     104.065us       127.44%       5.522ms       1.381ms       3.041us         5.17%       9.154us       2.289us           0 B           0 B     572.00 KB     286.00 KB             4  
                                    aten::_safe_softmax         2.03%      88.118us        10.78%     467.328us     233.664us       0.000us         0.00%      33.792us      16.896us           0 B           0 B     640.00 KB     -81.00 KB             2  
               aten::_scaled_dot_product_attention_math         1.88%      81.626us        98.97%       4.289ms       4.289ms       0.000us         0.00%      60.323us      60.323us           0 B           0 B     606.00 KB      -1.23 MB             1  
                                            aten::where         1.36%      58.768us         8.77%     380.038us      95.010us       6.017us        10.24%      14.051us       3.513us           0 B           0 B     960.00 KB        -512 B             4  
                                            aten::fill_         0.83%      35.921us         1.88%      81.286us      20.322us       6.143us        10.45%       6.143us       1.536us           0 B           0 B           0 B           0 B             4  
                                            aten::empty         0.76%      32.972us         0.76%      32.972us       6.594us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      81.50 KB      81.50 KB             5  
                     aten::scaled_dot_product_attention         0.75%      32.468us        99.72%       4.321ms       4.321ms       0.000us         0.00%      60.323us      60.323us           0 B           0 B     606.00 KB           0 B             1  
                                              aten::add         0.72%      31.008us         2.94%     127.380us      63.690us       2.304us         3.92%       4.608us       2.304us           0 B           0 B     640.00 KB     320.00 KB             2  
                                             aten::tril         0.62%      27.044us         3.40%     147.133us      73.567us       4.576us         7.78%       9.152us       4.576us           0 B           0 B     160.00 KB      80.00 KB             2  
                                              aten::all         0.53%      23.144us         1.05%      45.384us      45.384us       5.280us         8.98%       5.280us       5.280us           0 B           0 B         512 B         512 B             1  
                                    aten::scalar_tensor         0.51%      22.139us         5.31%     229.959us      45.992us       0.000us         0.00%       6.494us       1.299us           0 B           0 B       2.50 KB           0 B             5  
                                             aten::ones         0.38%      16.495us         5.32%     230.392us     115.196us       0.000us         0.00%       4.544us       2.272us           0 B           0 B     160.00 KB           0 B             2  
                                         aten::isneginf         0.35%      15.119us         0.64%      27.893us      27.893us       2.784us         4.74%       2.784us       2.784us           0 B           0 B      80.00 KB      80.00 KB             1  
                                        aten::transpose         0.35%      15.028us         1.77%      76.542us      38.271us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_softmax         0.33%      14.444us         0.68%      29.374us      29.374us       4.992us         8.49%       4.992us       4.992us           0 B           0 B     320.00 KB     320.00 KB             1  
                                  cudaDeviceSynchronize         0.28%      12.080us         0.28%      12.080us       6.040us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.22%       9.537us         8.33%     361.140us     180.570us       0.000us         0.00%      23.650us      11.825us           0 B           0 B     463.00 KB           0 B             2  
                                          aten::resize_         0.14%       6.206us         0.14%       6.206us       6.206us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     320.00 KB     320.00 KB             1  
                                          aten::softmax         0.11%       4.823us         0.79%      34.197us      34.197us       0.000us         0.00%       4.992us       4.992us           0 B           0 B     320.00 KB           0 B             1  
                                               aten::to         0.11%       4.803us         0.11%       4.803us       1.601us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.10%       4.249us         0.10%       4.249us       4.249us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.09%       4.036us         0.09%       4.036us       4.036us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.08%       3.420us         0.08%       3.420us       3.420us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.04%       1.883us         0.12%       5.303us       5.303us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.041us         5.17%       3.041us       1.521us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.272us         3.86%       2.272us       2.272us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<bool, int, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.576us         7.78%       4.576us       4.576us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.871us         6.58%       3.871us       1.290us           0 B           0 B           0 B           0 B             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.017us        10.24%       6.017us       3.009us           0 B           0 B           0 B           0 B             2  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       8.128us        13.83%       8.128us       8.128us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.304us         3.92%       2.304us       2.304us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.992us         8.49%       4.992us       4.992us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.784us         4.74%       2.784us       2.784us           0 B           0 B           0 B           0 B             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.280us         8.98%       5.280us       5.280us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      11.873us        20.20%      11.873us      11.873us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.649us         6.21%       3.649us       3.649us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.333ms
Self CUDA time total: 58.787us


--- Iteration 2 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     PythonDispatchMode        26.94%     882.508us        88.26%       2.891ms     240.945us       0.000us         0.00%      60.319us       5.027us           0 B           0 B       2.16 MB           0 B            12  
                                       cudaLaunchKernel        25.88%     847.781us        25.88%     847.781us      52.986us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            16  
                                Activity Buffer Request        17.94%     587.687us        17.94%     587.687us     587.687us       1.664us         2.84%       1.664us       1.664us           0 B           0 B           0 B           0 B             1  
                                              aten::mul         4.50%     147.421us        90.34%       2.959ms     739.802us       3.072us         5.24%       9.472us       2.368us           0 B           0 B     628.00 KB     314.00 KB             4  
                                               aten::mm         4.32%     141.371us        17.40%     570.014us     142.504us      23.456us        39.99%      46.912us      11.728us           0 B           0 B       1.06 MB     542.50 KB             4  
                                    aten::_safe_softmax         3.20%     104.862us        14.41%     472.142us     236.071us       0.000us         0.00%      34.496us      17.248us           0 B           0 B     771.00 KB     -97.50 KB             2  
               aten::_scaled_dot_product_attention_math         3.00%      98.425us        97.55%       3.195ms       3.195ms       0.000us         0.00%      60.319us      60.319us           0 B           0 B     699.50 KB      -1.47 MB             1  
                                            aten::where         2.24%      73.250us        13.19%     432.094us     108.024us       6.047us        10.31%      13.855us       3.464us           0 B           0 B       1.13 MB        -512 B             4  
                     aten::scaled_dot_product_attention         1.71%      55.866us        99.25%       3.251ms       3.251ms       0.000us         0.00%      60.319us      60.319us           0 B           0 B     699.50 KB           0 B             1  
                                            aten::fill_         1.21%      39.655us         2.80%      91.676us      22.919us       6.400us        10.91%       6.400us       1.600us           0 B           0 B           0 B           0 B             4  
                                              aten::add         1.06%      34.711us         4.55%     148.979us      74.489us       2.016us         3.44%       4.032us       2.016us           0 B           0 B     771.00 KB     385.50 KB             2  
                                             aten::tril         0.97%      31.784us         4.42%     144.703us      72.352us       4.384us         7.47%       8.768us       4.384us           0 B           0 B     193.00 KB      96.50 KB             2  
                                            aten::empty         0.96%      31.556us         0.96%      31.556us       6.311us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      98.00 KB      98.00 KB             5  
                                              aten::all         0.78%      25.610us         1.24%      40.544us      40.544us       5.312us         9.06%       5.312us       5.312us           0 B           0 B         512 B         512 B             1  
                                  cudaDeviceSynchronize         0.75%      24.516us         0.75%      24.516us      12.258us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                             aten::ones         0.74%      24.375us         7.77%     254.547us     127.274us       0.000us         0.00%       5.056us       2.528us           0 B           0 B     193.00 KB           0 B             2  
                                    aten::scalar_tensor         0.70%      22.988us         7.64%     250.372us      50.074us       0.000us         0.00%       6.495us       1.299us           0 B           0 B       2.50 KB           0 B             5  
                                        aten::transpose         0.54%      17.760us         2.71%      88.682us      44.341us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                         aten::_softmax         0.54%      17.642us         0.97%      31.721us      31.721us       5.312us         9.06%       5.312us       5.312us           0 B           0 B     385.50 KB     385.50 KB             1  
                                           aten::matmul         0.46%      15.224us        12.56%     411.362us     205.681us       0.000us         0.00%      23.456us      11.728us           0 B           0 B     542.50 KB           0 B             2  
                                         aten::isneginf         0.45%      14.856us         0.78%      25.527us      25.527us       2.656us         4.53%       2.656us       2.656us           0 B           0 B      96.50 KB      96.50 KB             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.22%       7.321us         0.22%       7.321us       7.321us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          aten::softmax         0.22%       7.256us         1.19%      38.977us      38.977us       0.000us         0.00%       5.312us       5.312us           0 B           0 B     385.50 KB           0 B             1  
                                          aten::resize_         0.20%       6.456us         0.20%       6.456us       6.456us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     385.50 KB     385.50 KB             1  
                                               aten::to         0.16%       5.123us         0.16%       5.123us       1.708us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                       aten::as_strided         0.15%       4.765us         0.15%       4.765us       4.765us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.10%       3.244us         0.10%       3.244us       3.244us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.05%       1.765us         0.15%       5.009us       5.009us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.072us         5.24%       3.072us       1.536us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.528us         4.31%       2.528us       2.528us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<bool, int, false, ...         0.00%       0.000us         0.00%       0.000us       0.000us       4.384us         7.47%       4.384us       4.384us           0 B           0 B           0 B           0 B             1  
