-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::transpose         0.04%      56.482us         0.06%      80.901us       8.090us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            10  
                                            aten::zero_         0.04%      47.562us         2.41%       3.188ms     318.810us       0.000us         0.00%      26.302us       2.630us           0 B           0 B           0 B           0 B            10  
                                               aten::to         0.04%      46.956us         0.43%     574.931us      57.493us       0.000us         0.00%      22.529us       2.253us          20 B           0 B       2.50 KB           0 B            10  
                             aten::_linalg_check_errors         0.03%      45.023us         0.50%     660.606us     132.121us       0.000us         0.00%      30.369us       6.074us           0 B           0 B           0 B      -2.50 KB             5  
                                          aten::permute         0.03%      44.264us         0.04%      54.917us       6.865us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                          aten::numpy_T         0.03%      35.999us         0.07%      90.916us      11.364us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                      aten::as_strided_         0.03%      34.744us         0.03%      34.744us       6.949us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                             aten::full         0.02%      25.518us         0.08%     106.655us      26.664us       0.000us         0.00%       6.943us       1.736us           0 B           0 B       2.63 MB           0 B             4  
                                               aten::mT         0.02%      25.433us         0.08%     106.334us      10.633us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            10  
                                          aten::softmax         0.02%      20.634us         0.10%     136.321us      34.080us       0.000us         0.00%      29.536us       7.384us           0 B           0 B       2.63 MB           0 B             4  
                                             aten::item         0.01%      19.532us         0.11%     150.241us      30.048us       0.000us         0.00%       7.904us       1.581us           0 B           0 B           0 B           0 B             5  
                                       aten::empty_like         0.01%      18.642us         0.07%      86.939us      17.388us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       1.22 MB           0 B             5  
                                         aten::diagonal         0.01%      17.236us         0.02%      22.530us       4.506us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        cudaEventRecord         0.01%      14.365us         0.01%      14.365us       2.052us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                             aten::view         0.01%      12.948us         0.01%      12.948us       2.590us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                               cudaFree         0.01%       9.495us         0.01%       9.495us       1.899us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                         cudaEventQuery         0.00%       4.506us         0.00%       4.506us       4.506us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                 cudaDeviceGetAttribute         0.00%       2.713us         0.00%       2.713us       0.271us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            10  
                                     cudaGetDeviceCount         0.00%       0.310us         0.00%       0.310us       0.310us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     119.141ms       454.81%     119.141ms      29.785ms           0 B           0 B           0 B           0 B             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.759us         0.04%       9.759us       1.952us           0 B           0 B           0 B           0 B             5  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      30.654us         0.12%      30.654us       3.065us           0 B           0 B           0 B           0 B            10  
