-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         1.27%      97.819ms         1.77%     136.255ms      28.837us     908.906ms        17.37%     908.906ms     192.361us           0 B           0 B     849.41 MB     849.41 MB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     529.506ms        10.12%     529.506ms       4.040us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     487.532ms         9.32%     487.532ms       1.687ms           0 B           0 B           0 B           0 B           289  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     419.380ms         8.02%     419.380ms     409.551us           0 B           0 B           0 B           0 B          1024  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     412.428ms         7.88%     412.428ms       3.147us           0 B           0 B           0 B           0 B        131072  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     402.601ms         7.70%     402.601ms     125.031us           0 B           0 B           0 B           0 B          3220  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     394.213ms         7.53%     394.213ms       3.961us           0 B           0 B           0 B           0 B         99512  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     243.922ms         4.66%     243.922ms       4.902us           0 B           0 B           0 B           0 B         49756  
                                  Lazy Function Loading         0.00%     210.075us         0.00%     210.075us     105.037us     138.740ms         2.65%     138.740ms      69.370ms           0 B           0 B           0 B           0 B             2  
                                            aten::copy_         1.40%     107.809ms         3.79%     291.801ms      12.077us      89.507ms         1.71%      89.517ms       3.705us           0 B           0 B           0 B           0 B         24162  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.693s
Self CUDA time total: 5.232s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
