--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd        53.42%      48.916ms       179.91%     164.751ms      82.376ms       3.787ms        98.26%     439.290ms     219.645ms           0 B          -4 B     287.00 KB      64.00 KB             2  
                       Runtime Triggered Module Loading        18.45%      16.896ms        18.45%      16.896ms     563.203us     113.600ms      2947.66%     113.600ms       3.787ms           0 B           0 B           0 B           0 B            30  
                                     PythonDispatchMode         8.36%       7.652ms        98.17%      89.899ms       5.993ms       0.000us         0.00%     219.729ms      14.649ms           0 B           8 B     925.50 KB           0 B            15  
                                       cudaLaunchKernel         5.86%       5.370ms        25.44%      23.295ms      45.586us       0.000us         0.00%     212.070ms     415.010us           0 B           0 B           0 B           0 B           511  
                              cudaStreamCreateWithFlags         2.46%       2.256ms         2.46%       2.256ms     751.844us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                        cudaMemcpyAsync         2.42%       2.217ms         2.42%       2.217ms     130.425us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                Activity Buffer Request         2.19%       2.010ms         2.19%       2.010ms       2.010ms       2.079us         0.05%       2.079us       2.079us           0 B           0 B           0 B           0 B             1  
                                  Lazy Function Loading         1.44%       1.321ms         1.44%       1.321ms      40.039us     102.273ms      2653.76%     102.273ms       3.099ms           0 B           0 B           0 B           0 B            33  
                                             cudaMalloc         1.04%     950.519us         1.04%     950.519us      73.117us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
                                       aten::linalg_svd         0.59%     539.478us        92.67%      84.863ms      84.863ms       0.000us         0.00%     219.645ms     219.645ms           0 B           0 B     143.50 KB           0 B             1  
