--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        33.79%       5.108ms        33.79%       5.108ms       5.042us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1013  
                                        cudaMemcpyAsync        25.30%       3.824ms        25.30%       3.824ms     112.465us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            34  
                                Activity Buffer Request        13.05%       1.973ms        13.05%       1.973ms       1.973ms       1.472us         0.02%       1.472us       1.472us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode         9.58%       1.448ms        97.48%      14.735ms     669.757us       0.000us         0.00%       7.667ms     348.519us           0 B           8 B       1.16 MB           0 B            22  
                                      aten::_linalg_svd         7.71%       1.165ms       167.36%      25.298ms       6.324ms       7.587ms        98.98%      15.219ms       3.805ms           0 B          -8 B     574.00 KB     128.00 KB             4  
                                               aten::mm         1.92%     289.496us         8.00%       1.210ms     100.827us      40.768us         0.53%      81.536us       6.795us           0 B           0 B     782.00 KB     391.00 KB            12  
                                            aten::copy_         0.88%     133.613us         1.89%     285.219us      28.522us      18.368us         0.24%      18.368us       1.837us           0 B           0 B           0 B           0 B            10  
                                            aten::fill_         0.70%     106.423us        15.00%       2.268ms     453.552us       6.880us         0.09%       8.352us       1.670us           0 B           0 B           0 B           0 B             5  
                                         aten::_softmax         0.56%      84.973us         1.26%     190.419us      95.209us       3.264us         0.04%       6.528us       3.264us           0 B           0 B     196.00 KB      98.00 KB             2  
                                            aten::slice         0.51%      77.518us         2.78%     419.551us      34.963us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                  cudaStreamSynchronize         0.47%      70.346us         0.47%      70.346us       2.931us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            24  
