--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        22.29%       4.129ms        22.29%       4.129ms     516.141us      36.025ms       789.14%      36.025ms       4.503ms           0 B           0 B           0 B           0 B             8  
                                        cudaMemcpyAsync        17.44%       3.230ms        17.44%       3.230ms     189.988us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                       cudaLaunchKernel        15.57%       2.884ms        41.12%       7.615ms      22.732us       0.000us         0.00%      63.046ms     188.196us           0 B           0 B           0 B           0 B           335  
                                Activity Buffer Request        10.61%       1.966ms        10.61%       1.966ms       1.966ms       2.464us         0.05%       2.464us       2.464us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        10.55%       1.954ms        97.88%      18.128ms     788.167us       0.000us         0.00%      67.613ms       2.940ms           0 B           8 B       1.25 MB           0 B            23  
                                      aten::_linalg_svd         8.49%       1.572ms       119.88%      22.203ms      11.102ms       4.503ms        98.64%     135.114ms      67.557ms           0 B          -4 B     514.00 KB      98.50 KB             2  
                                              aten::cat         3.86%     714.495us        37.24%       6.896ms       3.448ms       2.464us         0.05%      14.784us       7.392us           0 B           0 B     316.00 KB     158.00 KB             2  
                                  Lazy Function Loading         3.25%     602.288us         3.25%     602.288us      86.041us      27.021ms       591.91%      27.021ms       3.860ms           0 B           0 B           0 B           0 B             7  
                                               aten::mm         1.58%     292.848us         6.95%       1.287ms     128.728us      34.655us         0.76%      69.310us       6.931us           0 B           0 B     726.00 KB     363.00 KB            10  
                                         aten::_softmax         0.61%     112.099us         1.68%     311.214us     155.607us       3.264us         0.07%       6.528us       3.264us           0 B           0 B     196.00 KB      98.00 KB             2  
