-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd        47.25%      58.662ms        90.01%     111.755ms      27.939ms      21.292ms        98.73%     362.606ms      90.652ms           0 B         -16 B       1.45 MB     448.50 KB             4  
                       Runtime Triggered Module Loading        16.94%      21.028ms        16.94%      21.028ms     584.100us     181.254ms       840.44%     181.254ms       5.035ms           0 B           0 B           0 B           0 B            36  
                                        cudaMemcpyAsync        11.17%      13.866ms        11.17%      13.866ms     203.919us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            68  
                                       cudaLaunchKernel         8.97%      11.133ms        26.81%      33.293ms      16.425us       0.000us         0.00%     321.162ms     158.442us           0 B           0 B           0 B           0 B          2027  
                                Activity Buffer Request         6.47%       8.035ms         6.47%       8.035ms       1.339ms       7.807us         0.04%       7.807us       1.301us           0 B           0 B           0 B           0 B             6  
                                          ProfilerStep*         1.97%       2.447ms        95.22%     118.218ms      19.703ms       0.000us         0.00%     362.873ms      60.479ms          24 B          24 B       3.59 MB     -12.03 MB             6  
                              cudaStreamCreateWithFlags         1.91%       2.370ms         1.91%       2.370ms     790.043us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                  Lazy Function Loading         1.15%       1.432ms         1.15%       1.432ms      36.723us     160.045ms       742.10%     160.045ms       4.104ms           0 B           0 B           0 B           0 B            39  
                                             cudaMalloc         0.73%     902.496us         0.73%     902.496us      69.423us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
                                               aten::mm         0.46%     574.911us         0.74%     920.954us      61.397us     144.349us         0.67%     177.148us      11.810us           0 B           0 B       3.88 MB       3.88 MB            15  
