page,method,threshold,k,rel_mse
2,method_1,0.6,5,0.18096677958965302
2,method_1,0.61,6,0.16206200420856476
2,method_1,0.62,6,0.16206200420856476
2,method_1,0.63,7,0.15884742140769958
2,method_1,0.64,7,0.15884742140769958
2,method_1,0.65,8,0.1571928858757019
2,method_1,0.66,8,0.1571928858757019
2,method_1,0.67,9,0.15540367364883423
2,method_1,0.6799999999999999,10,0.1476098746061325
2,method_1,0.69,10,0.1476098746061325
2,method_1,0.7,11,0.14068639278411865
2,method_1,0.71,12,0.13410452008247375
2,method_1,0.72,13,0.13839446008205414
2,method_1,0.73,14,0.13297538459300995
2,method_1,0.74,15,0.12638653814792633
2,method_1,0.75,16,0.11236684769392014
2,method_1,0.76,17,0.11286865919828415
2,method_1,0.77,18,0.11423507332801819
2,method_1,0.78,19,0.1069677472114563
2,method_1,0.79,21,0.0923801064491272
2,method_1,0.8,22,0.08985534310340881
2,method_1,0.81,23,0.08830620348453522
2,method_1,0.8200000000000001,25,0.08783548325300217
2,method_1,0.8300000000000001,27,0.08158309012651443
2,method_1,0.8400000000000001,28,0.07683142274618149
2,method_1,0.8500000000000001,30,0.07154424488544464
2,method_1,0.86,32,0.06865229457616806
2,method_1,0.87,34,0.06614203751087189
2,method_1,0.88,36,0.07097510248422623
2,method_1,0.89,38,0.07013306766748428
2,method_1,0.9,41,0.06437423080205917
2,method_1,0.91,44,0.05774082615971565
2,method_1,0.9199999999999999,47,0.05597390606999397
2,method_1,0.9299999999999999,50,0.05446147918701172
2,method_1,0.94,54,0.04755372181534767
2,method_1,0.95,59,0.038679249584674835
2,method_1,0.96,64,0.03218608722090721
2,method_1,0.97,71,0.01941373571753502
2,method_1,0.98,81,0.014513768255710602
2,method_1,0.99,94,0.007126938086003065
2,method_2,0.5,7,0.23855462670326233
2,method_2,0.51,7,0.23855462670326233
2,method_2,0.52,8,0.23685772716999054
2,method_2,0.53,8,0.23685772716999054
2,method_2,0.54,8,0.23685772716999054
2,method_2,0.55,9,0.21092914044857025
