k,mean,std,min,max
1,0.7585718080503439,0.02804171918679556,0.6727951560810199,0.8292869800691047
4,3.263046544288518,8.289992677139086,0.7115523881226589,92.979059712268
7,2.1656535107220916,5.35907850821024,0.6755485359552672,71.21735658078921
10,4.840041186330776,27.58384450069574,0.6628469457219062,351.2654667659136
13,3.81531125379232,17.3748187945377,0.6603801005484536,247.0256440616921
16,2.261187971316087,5.6401125089473645,0.6431880058586639,72.52291672174805
19,3.866032753323156,18.696021599212692,0.682179827514677,195.77857013256525
22,2.0996489500338384,8.120944942665075,0.6335540226681114,111.4959868272539
25,11.596264057457379,144.39849045585285,0.6653713058666859,2165.8195493228104
28,2.532154145585972,8.56544598849405,0.6289545946775128,110.67676798217006
31,2.138545185141,4.671741810525258,0.6535424156176198,45.628724041524535
34,2.66532239126998,15.950235300190718,0.6251149484227355,234.55470953505574
37,2.6892647830326575,12.132158925123433,0.610625164453671,165.10101400695967
40,4.832544953028891,40.137680176055675,0.5994267628418525,593.7644322144346
43,1.6788628477117267,3.912862814631581,0.5977115721343215,39.22789216493235
46,1.5393391004398058,3.009652361764292,0.5979138070306097,35.25604224862458
49,3.124029719098409,22.889567314374315,0.6125297766481144,341.0121934470144
52,1.3068464651082463,2.1488968886427435,0.6180294622052233,27.15623147453103
55,1.613509827369653,4.0992986529788435,0.6385441322333323,58.092535034151624
58,2.743252010343642,9.005074069574544,0.6141836749859216,100.54766311172628
61,3.3953186711393855,28.56203280289174,0.6126315273620123,424.17710380669035
64,1.291750289161089,2.0962371934531863,0.6161719836910159,23.582469119060896
67,2.000164418734122,6.428280457520637,0.6038262872206833,84.65402408658665
70,2.3575645466333683,12.898810664172847,0.5778959372636997,185.68807248801807
73,1.4366606968604607,3.0505890481584834,0.5761903373046388,33.86227293483094
76,1.9114179071100352,8.341438486406208,0.591755506153033,120.18334446719984
79,1.3177346796232394,1.6190167338207349,0.6011333689152902,18.422652584466068
82,1.3543731797554839,3.028869468312902,0.6031969296022734,40.77378172425575
85,3.006296112386405,27.386851134499654,0.5956291104249616,411.52139560429896
88,4.653846387280054,42.78493489219425,0.6235598141274323,636.4255004620421
