k,mean,std,min,max
1,0.7583988020750908,0.0280589724897414,0.6727951560810199,0.8381763992593798
4,4.02997604831002,10.855542041242526,0.7115523881226589,92.979059712268
7,2.172050245429379,5.2813855319480485,0.6755485359552672,71.21735658078921
10,5.132864465185514,28.12019115458684,0.6628469457219062,351.2654667659136
13,3.888790962155281,17.393485172604755,0.6603801005484536,247.0256440616921
16,2.286637855476355,5.752923108017973,0.6431880058586639,72.52291672174805
19,2.9485122703753546,13.830574591739305,0.682179827514677,195.77857013256525
22,2.1490983951687337,8.123393171397295,0.6335540226681114,111.4959868272539
25,2.2812333759742454,8.479640593980164,0.6653713058666859,92.91174947020777
28,2.0169750635987667,4.609692025357627,0.6289545946775128,48.774644089850305
31,1.8061465672911847,4.08744890368795,0.6535424156176198,45.628724041524535
34,2.431268412894208,15.611533682383536,0.6251149484227355,234.55470953505574
37,3.1732458696726957,14.542146124595682,0.610625164453671,165.10101400695967
40,4.2975197826445095,39.55458732037906,0.5994267628418525,593.7644322144346
43,2.072591389956368,6.740572280132458,0.5977115721343215,84.04146533251514
46,1.550588381846652,2.886169887342209,0.5979138070306097,35.25604224862458
49,1.7224550451926433,3.837956819882665,0.6125297766481144,43.5914830422978
52,1.626718000776296,4.28320511628994,0.6180294622052233,43.44831338329046
55,1.6739638464231605,4.118174559400685,0.6385441322333323,58.092535034151624
58,2.8283403648168197,9.101320340004406,0.6141836749859216,100.54766311172628
61,3.441641563335826,28.56590022614252,0.6126315273620123,424.17710380669035
64,1.4121343318011148,2.2847829554891965,0.6161719836910159,23.582469119060896
67,1.8940974689081658,6.36052307096185,0.6038262872206833,84.65402408658665
70,2.727141757423723,13.730386450172603,0.5778959372636997,185.68807248801807
73,1.4190944434305712,3.018897798306148,0.5761903373046388,33.86227293483094
76,1.5721076351298504,4.130273040490958,0.591755506153033,46.8899007671582
79,1.3220092999320419,1.620977307311896,0.6011333689152902,18.422652584466068
82,1.351584844061425,3.0298681301535173,0.6031969296022734,40.77378172425575
85,2.9734772113646746,27.384412943471514,0.5956291104249616,411.52139560429896
88,4.61458272302427,42.783729009099794,0.6235598141274323,636.4255004620421
91,1.2550568022736897,2.2412025281717924,0.584435816403988,30.59253312660542
94,1.2880080955067443,3.6185650719845244,0.5864600452367523,54.301535655220114
97,1.028744677043098,0.675232623339755,0.6094949052365243,6.531076722036529
100,1.4957688164601473,4.149220581545511,0.6234981928372101,47.578042246388534
103,2.6812555451616222,10.232218861005776,0.5820791428872092,107.7425067315998
106,1.1755119711006248,1.3512430407191987,0.6082792756494804,15.664718452715794
109,1.4189231276586305,3.682934748077708,0.5868027051461979,37.58349005857696
112,1.2760761353568968,1.5587469921068868,0.6242929297207699,15.509645288210043
115,1.3081580934422297,1.7138661344116524,0.6636259095006214,18.001163600726873
118,4.378744578603607,38.54998623649931,0.6511325777790212,572.0202697566996
121,1.0508704976396994,0.9232235175124863,0.6097065049090274,11.915880640288897
124,1.1908037595486207,1.5112619702644055,0.6178452168528186,20.190041163500688
127,1.8543285619083556,5.5762512793853425,0.6381913914366691,73.5776597888539
130,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
133,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
136,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
139,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
142,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
145,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
148,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
