company,page,k,rmse
Barclays,1,1,0.6727951560810199
Barclays,1,4,0.7850278147733621
Barclays,1,7,0.7420206566492134
Barclays,1,10,1.504676308339658
Barclays,1,13,0.8364739262988903
Barclays,1,16,0.6431880058586639
Barclays,1,19,0.682179827514677
Barclays,1,22,0.6335540226681114
Barclays,1,25,0.6653713058666859
Barclays,1,28,0.7787024721770437
Barclays,1,31,1.2123775347672077
Barclays,1,34,0.6887776882588958
Barclays,1,37,1.4101058727517892
Barclays,1,40,0.9598150308410659
Barclays,1,43,0.6523532667270309
Barclays,1,46,0.7535316765607417
Barclays,1,49,0.6398195172775077
Barclays,1,52,0.6335622047608634
Barclays,1,55,1.2449273143800652
Barclays,1,58,0.6327999773537548
Barclays,1,61,0.8908222502146943
Barclays,1,64,0.6248414515536213
Barclays,1,67,0.8044963378552364
Barclays,1,70,0.6834679507914668
Barclays,1,73,0.6656956472523715
Barclays,1,76,3.391436291189858
Barclays,1,79,1.115330602155224
Barclays,1,82,1.814908485717318
Barclays,1,85,0.5976576959800618
Barclays,1,88,0.7402503447696182
Barclays,1,91,0.584435816403988
Barclays,1,94,0.6042525005091947
Barclays,1,97,0.910646163725178
Barclays,1,100,1.171383863698569
Barclays,1,103,0.6602140437692493
Barclays,1,106,0.6781112063507552
Barclays,1,109,0.6812854075386137
Barclays,1,112,0.6329106032828382
Barclays,1,115,0.6955021982139078
Barclays,1,118,0.7972688080200601
Barclays,1,121,0.9714808681984672
Barclays,1,124,0.9714808681984672
Barclays,1,127,0.9714808681984672
Barclays,1,130,0.9714808681984672
Barclays,1,133,0.9714808681984672
Barclays,1,136,0.9714808681984672
Barclays,1,139,0.9714808681984672
Barclays,1,142,0.9714808681984672
Barclays,1,145,0.9714808681984672
Barclays,1,148,0.9714808681984672
Barclays,1,152,0.9714808681984672
Barclays,1,155,0.9714808681984672
Barclays,1,158,0.9714808681984672
Barclays,1,161,0.9714808681984672
Barclays,1,164,0.9714808681984672
Barclays,1,167,0.9714808681984672
Barclays,1,170,0.9714808681984672
Barclays,1,173,0.9714808681984672
Barclays,1,176,0.9714808681984672
Barclays,1,179,0.9714808681984672
Barclays,1,182,0.9714808681984672
Barclays,1,185,0.9714808681984672
Barclays,1,188,0.9714808681984672
Barclays,1,191,0.9714808681984672
Barclays,1,194,0.9714808681984672
