-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.865s        16.55%        1.865s      37.677us           0 B           0 B           0 B           0 B         49504  
                                           aten::matmul         0.48%      84.587ms         3.00%     527.658ms      60.111us       0.000us         0.00%        1.380s     157.231us           0 B           0 B       3.48 GB           0 B          8778  
                                           aten::linear         0.17%      30.605ms         2.17%     382.788ms      56.785us       0.000us         0.00%        1.329s     197.217us           0 B           0 B       3.65 GB           0 B          6741  
                                               aten::mm         0.60%     104.815ms         0.98%     172.136ms      36.431us        1.282s        11.38%        1.289s     272.895us           0 B           0 B       1.68 GB       1.68 GB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     988.902ms         8.78%     988.902ms       7.545us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     872.991ms         7.75%     872.991ms       3.021ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     654.819ms         5.81%     654.819ms       4.996us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 1024>(i...         0.00%       0.000us         0.00%       0.000us       0.000us     560.028ms         4.97%     560.028ms     546.902us           0 B           0 B           0 B           0 B          1024  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.02%       3.639ms         0.06%      10.319ms       3.416us       0.000us         0.00%     509.632ms     168.696us           0 B           0 B           0 B           0 B          3021  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     401.131ms         3.56%     401.131ms     124.575us           0 B           0 B           0 B           0 B          3220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.604s
Self CUDA time total: 11.267s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
