-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::bitwise_not         0.00%     946.906us         0.00%       1.369ms      38.017us      77.508us         0.00%      79.972us       2.221us         128 B         128 B       7.83 MB       7.83 MB            36  
                                               aten::lt         0.05%      13.174ms         0.07%      19.284ms      30.038us       1.780ms         0.02%       1.782ms       2.776us          64 B          68 B     544.00 KB     544.00 KB           642  
                                           aten::detach         0.01%       3.080ms         0.02%       6.012ms       3.876us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                                 detach         0.01%       2.932ms         0.01%       2.932ms       1.890us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                          aten::normal_         0.01%       1.520ms         0.02%       4.945ms       4.945ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          prims::normal         0.00%     113.475us         0.00%     129.966us     129.966us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.05%      14.455ms         0.70%     195.322ms      29.766us       0.000us         0.00%      20.868ms       3.180us       4.30 KB           0 B       3.06 GB           0 B          6562  
                                         aten::_to_copy         0.17%      47.050ms         0.65%     180.867ms      40.635us       0.000us         0.00%      20.868ms       4.688us       4.30 KB           0 B       3.06 GB           0 B          4451  
                                            aten::copy_         0.25%      68.952ms         0.55%     153.310ms      22.296us      30.204ms         0.30%      30.305ms       4.407us           0 B           0 B           0 B           0 B          6876  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.980s
Self CUDA time total: 10.121s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.14%      37.699ms         0.14%      38.673ms       4.261us       0.000us         0.00%       0.000us       0.000us      17.84 KB      17.84 KB      16.13 GB      16.13 GB          9076  
                                    aten::empty_strided         0.11%      30.866ms         0.11%      31.177ms       6.591us       0.000us         0.00%       0.000us       0.000us       4.30 KB       4.30 KB       3.09 GB       3.09 GB          4730  
                                              aten::mul         0.39%     105.206ms         0.64%     175.489ms      21.336us      26.475ms         0.26%      26.562ms       3.229us       1.31 KB       1.33 KB       2.22 GB       2.22 GB          8225  
                                              aten::div         0.00%       1.172ms         0.01%       1.422ms     177.768us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.02 KB           0 B           0 B             8  
                                       aten::reciprocal         0.00%     541.998us         0.00%     738.797us     123.133us       0.000us         0.00%       0.000us       0.000us         768 B         768 B           0 B           0 B             6  
                                              aten::sub         0.04%       9.573ms         0.05%      14.310ms      22.220us       1.891ms         0.02%       1.894ms       2.941us         512 B         520 B       2.72 MB       2.72 MB           644  
                                            aten::where         0.06%      16.406ms         0.33%      90.514ms      70.493us       2.176ms         0.02%       5.311ms       4.136us         512 B         512 B       1.71 MB    -297.50 KB          1284  
                                          aten::resize_         0.04%       9.674ms         0.04%      10.108ms       3.658us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       8.61 MB       8.61 MB          2763  
                                              aten::add         0.21%      57.806ms         0.36%      98.830ms      20.811us      10.828ms         0.11%      10.875ms       2.290us         256 B         264 B     450.57 MB     450.57 MB          4749  
                                              aten::pow         0.09%      23.732ms         0.23%      62.863ms      45.952us       3.198ms         0.03%       3.234ms       2.364us         256 B         260 B     539.38 MB     539.38 MB          1368  
                                               aten::gt         0.00%     515.367us         0.00%     627.316us     156.829us       0.000us         0.00%       0.000us       0.000us         128 B         136 B           0 B           0 B             4  
                                      aten::bitwise_not         0.00%     926.518us         0.00%       1.310ms      36.391us      77.412us         0.00%      79.844us       2.218us         128 B         128 B       7.83 MB       7.83 MB            36  
                                               aten::lt         0.04%      10.765ms         0.06%      15.447ms      24.061us       1.553ms         0.02%       1.555ms       2.423us          64 B          68 B     544.00 KB     544.00 KB           642  
                     aten::_efficient_attention_forward         0.04%      10.249ms         0.10%      28.109ms      43.920us      22.425ms         0.22%      22.514ms      35.178us      10.00 KB          64 B       5.00 MB           0 B           640  
                                           aten::detach         0.01%       3.220ms         0.02%       6.320ms       4.075us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                                 detach         0.01%       3.101ms         0.01%       3.101ms       1.999us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                          aten::normal_         0.01%       1.652ms         0.02%       5.184ms       5.184ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          prims::normal         0.00%     132.165us         0.00%     149.187us     149.187us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
