CUDA_VISIBLE_DEVICES: 0
Available GPUs: 1
Current device: 0
Loading model and tokenizer once at the start...
Starting fold 1
Training and evaluating model with k=10
step=0 loss=1.310052e+03
step=5 loss=4.054499e+02
step=10 loss=2.929677e+02
step=15 loss=2.141485e+02
step=20 loss=2.854537e+02
step=25 loss=3.943475e+02
step=30 loss=3.386428e+02
step=35 loss=2.032758e+02
step=40 loss=2.029849e+02
step=45 loss=1.348682e+02
step=50 loss=1.763808e+02
step=55 loss=3.029029e+01
step=60 loss=1.505480e+02
step=65 loss=1.209256e+02
step=70 loss=2.864911e+01
step=75 loss=8.253490e+01
step=80 loss=9.091064e+01
step=85 loss=7.846595e+01
step=90 loss=8.841043e+01
step=95 loss=5.819172e+01
Training and evaluating model with k=15
step=0 loss=2.995524e+03
step=5 loss=1.085146e+03
step=10 loss=3.137412e+02
step=15 loss=3.326291e+02
step=20 loss=3.582895e+02
step=25 loss=2.416330e+02
step=30 loss=1.798571e+02
step=35 loss=2.423124e+02
step=40 loss=8.501142e+01
step=45 loss=1.446394e+02
step=50 loss=8.563374e+01
step=55 loss=1.584426e+01
step=60 loss=7.787434e+01
step=65 loss=1.056504e+02
step=70 loss=1.981728e+01
step=75 loss=6.416538e+01
step=80 loss=5.767841e+01
step=85 loss=5.942095e+01
step=90 loss=3.921342e+01
step=95 loss=4.532831e+01
Training and evaluating model with k=20
step=0 loss=3.266228e+03
step=5 loss=1.095428e+03
step=10 loss=4.457134e+02
step=15 loss=1.896652e+02
step=20 loss=1.598987e+02
step=25 loss=2.431752e+02
step=30 loss=1.373732e+02
step=35 loss=1.931091e+02
step=40 loss=1.122668e+02
step=45 loss=7.015002e+01
step=50 loss=7.724625e+01
step=55 loss=1.515057e+01
step=60 loss=5.575471e+01
step=65 loss=5.668208e+01
step=70 loss=1.920370e+01
step=75 loss=2.898581e+01
step=80 loss=4.124839e+01
step=85 loss=3.445372e+01
step=90 loss=3.584530e+01
step=95 loss=1.770734e+01
Training and evaluating model with k=25
step=0 loss=4.898990e+03
step=5 loss=2.236104e+03
step=10 loss=8.296386e+02
step=15 loss=5.311330e+02
step=20 loss=1.468837e+02
step=25 loss=1.353196e+02
step=30 loss=8.082957e+01
step=35 loss=1.394784e+02
step=40 loss=1.503492e+02
step=45 loss=9.890678e+01
step=50 loss=8.459839e+01
step=55 loss=1.177954e+01
step=60 loss=5.366830e+01
step=65 loss=3.337424e+01
step=70 loss=1.639952e+01
step=75 loss=4.225525e+01
step=80 loss=4.593771e+01
step=85 loss=4.581253e+01
step=90 loss=3.581424e+01
step=95 loss=2.597507e+01
Training and evaluating model with k=30
step=0 loss=3.545806e+02
step=5 loss=2.478345e+02
step=10 loss=1.233938e+02
step=15 loss=1.287815e+02
step=20 loss=9.743066e+01
step=25 loss=7.560345e+01
step=30 loss=7.408500e+01
step=35 loss=4.362448e+01
step=40 loss=4.230013e+01
step=45 loss=3.287086e+01
step=50 loss=4.784373e+01
step=55 loss=5.524070e+00
step=60 loss=3.328415e+01
step=65 loss=5.524237e+01
step=70 loss=7.191496e+00
step=75 loss=2.228382e+01
step=80 loss=4.483471e+01
step=85 loss=3.774350e+01
step=90 loss=2.378412e+01
step=95 loss=2.421264e+01
Training and evaluating model with k=35
step=0 loss=1.382258e+03
step=5 loss=3.067880e+02
step=10 loss=1.838299e+02
step=15 loss=1.469890e+02
step=20 loss=1.453647e+02
step=25 loss=8.348355e+01
step=30 loss=8.562984e+01
step=35 loss=3.739932e+01
step=40 loss=3.523003e+01
step=45 loss=3.051223e+01
step=50 loss=2.081378e+01
step=55 loss=5.550387e+00
step=60 loss=2.106683e+01
step=65 loss=2.035764e+01
step=70 loss=5.731320e+00
step=75 loss=1.042266e+01
step=80 loss=2.326631e+01
step=85 loss=8.883177e+00
step=90 loss=4.452926e+00
step=95 loss=5.891981e+00
Training and evaluating model with k=40
step=0 loss=2.766315e+02
step=5 loss=6.914916e+01
step=10 loss=4.283110e+01
step=15 loss=2.398969e+01
step=20 loss=8.607660e+01
step=25 loss=2.470178e+01
step=30 loss=1.292299e+01
step=35 loss=1.399120e+01
step=40 loss=1.377821e+01
step=45 loss=8.104065e+00
step=50 loss=6.748043e+00
step=55 loss=1.458300e+00
step=60 loss=4.422811e+00
step=65 loss=6.726694e+00
step=70 loss=1.949333e+00
step=75 loss=3.454319e+00
step=80 loss=3.746597e+00
step=85 loss=2.773911e+00
step=90 loss=2.833058e+00
step=95 loss=1.723847e+00
Training and evaluating model with k=45
step=0 loss=2.462400e+02
step=5 loss=1.685147e+02
step=10 loss=6.836063e+01
step=15 loss=6.581899e+01
step=20 loss=6.362855e+01
step=25 loss=7.400740e+01
step=30 loss=3.658606e+01
step=35 loss=2.282829e+01
step=40 loss=2.217418e+01
step=45 loss=1.606264e+01
step=50 loss=1.413478e+01
step=55 loss=3.256589e+00
step=60 loss=1.441230e+01
step=65 loss=1.066080e+01
step=70 loss=6.379933e+00
step=75 loss=6.308373e+00
step=80 loss=6.421389e+00
step=85 loss=6.095895e+00
step=90 loss=9.336995e+00
step=95 loss=1.032271e+01
Training and evaluating model with k=50
step=0 loss=1.727101e+02
step=5 loss=1.058954e+02
step=10 loss=1.039122e+02
step=15 loss=4.829754e+01
step=20 loss=7.334461e+01
step=25 loss=2.338565e+01
step=30 loss=2.199439e+01
step=35 loss=1.828462e+01
step=40 loss=1.216650e+01
step=45 loss=1.822376e+01
step=50 loss=9.338354e+00
step=55 loss=1.844262e+00
step=60 loss=5.209995e+00
step=65 loss=6.884810e+00
step=70 loss=1.640668e+00
step=75 loss=4.332081e+00
step=80 loss=4.533391e+00
step=85 loss=3.486156e+00
step=90 loss=3.130836e+00
step=95 loss=2.372755e+00
Training and evaluating model with k=55
step=0 loss=4.326025e+02
step=5 loss=6.846868e+01
step=10 loss=9.382391e+01
step=15 loss=2.654910e+01
step=20 loss=3.205692e+01
step=25 loss=3.548459e+01
step=30 loss=1.748127e+01
step=35 loss=2.737122e+01
step=40 loss=1.618764e+01
step=45 loss=1.388927e+01
step=50 loss=1.187565e+01
step=55 loss=1.842579e+00
step=60 loss=6.297621e+00
step=65 loss=6.680370e+00
step=70 loss=1.763148e+00
step=75 loss=6.676439e+00
step=80 loss=3.749969e+00
step=85 loss=2.662393e+00
step=90 loss=2.854988e+00
step=95 loss=3.730654e+00
Training and evaluating model with k=60
step=0 loss=1.647236e+02
step=5 loss=6.795579e+01
step=10 loss=4.593806e+01
step=15 loss=5.318612e+01
step=20 loss=4.269552e+01
step=25 loss=3.529282e+01
step=30 loss=2.020538e+01
step=35 loss=2.247189e+01
step=40 loss=1.502430e+01
step=45 loss=1.374455e+01
step=50 loss=1.041609e+01
step=55 loss=1.606813e+00
step=60 loss=6.671793e+00
step=65 loss=1.679535e+01
step=70 loss=1.669616e+00
step=75 loss=3.358779e+00
step=80 loss=4.142526e+00
step=85 loss=4.427247e+00
step=90 loss=2.566852e+00
step=95 loss=2.591249e+00
Training and evaluating model with k=65
step=0 loss=3.114854e+02
step=5 loss=9.404420e+01
step=10 loss=6.205366e+01
step=15 loss=4.356421e+01
step=20 loss=3.039031e+01
step=25 loss=2.344420e+01
step=30 loss=1.443309e+01
step=35 loss=1.093681e+01
step=40 loss=8.936937e+00
step=45 loss=9.948092e+00
step=50 loss=5.814212e+00
step=55 loss=9.711860e-01
step=60 loss=3.413332e+00
step=65 loss=3.560061e+00
step=70 loss=1.696825e+00
step=75 loss=4.839276e+00
step=80 loss=2.251679e+00
step=85 loss=1.893499e+00
step=90 loss=1.867862e+00
step=95 loss=3.336455e+00
Training and evaluating model with k=70
step=0 loss=9.817736e+02
step=5 loss=2.302950e+02
step=10 loss=1.246011e+02
step=15 loss=1.338590e+02
step=20 loss=8.953808e+01
step=25 loss=2.469771e+01
step=30 loss=2.291553e+01
step=35 loss=2.472060e+01
step=40 loss=2.274456e+01
step=45 loss=1.293721e+01
step=50 loss=1.447348e+01
step=55 loss=1.228603e+00
step=60 loss=1.265190e+01
step=65 loss=9.993654e+00
step=70 loss=3.653940e+00
step=75 loss=7.427918e+00
step=80 loss=6.047163e+00
step=85 loss=6.723118e+00
step=90 loss=4.358032e+00
step=95 loss=2.883721e+00
Training and evaluating model with k=75
step=0 loss=1.485390e+03
step=5 loss=5.245012e+02
step=10 loss=1.575990e+02
step=15 loss=1.091818e+02
step=20 loss=5.121986e+01
step=25 loss=5.741266e+01
step=30 loss=4.694871e+01
step=35 loss=1.972393e+01
step=40 loss=1.392274e+01
step=45 loss=1.003975e+01
step=50 loss=1.030131e+01
step=55 loss=1.552915e+00
step=60 loss=5.453325e+00
step=65 loss=6.046947e+00
step=70 loss=2.082224e+00
step=75 loss=4.530818e+00
step=80 loss=3.848077e+00
step=85 loss=3.530330e+00
step=90 loss=5.336091e+00
step=95 loss=2.803607e+00
Training and evaluating model with k=80
step=0 loss=6.990009e+02
step=5 loss=1.551370e+02
step=10 loss=9.832771e+01
step=15 loss=1.019556e+02
step=20 loss=4.841889e+01
step=25 loss=3.647832e+01
step=30 loss=2.112842e+01
step=35 loss=2.185732e+01
step=40 loss=9.627160e+00
step=45 loss=1.324076e+01
step=50 loss=1.020015e+01
step=55 loss=1.480172e+00
step=60 loss=5.146491e+00
step=65 loss=3.568278e+00
step=70 loss=1.453933e+00
step=75 loss=3.268150e+00
step=80 loss=3.333996e+00
step=85 loss=3.063540e+00
step=90 loss=2.919880e+00
step=95 loss=2.430206e+00
Training and evaluating model with k=85
step=0 loss=1.361471e+02
step=5 loss=5.421569e+01
step=10 loss=2.984755e+01
step=15 loss=2.046927e+01
step=20 loss=1.241117e+01
step=25 loss=7.180073e+00
step=30 loss=8.664084e+00
step=35 loss=6.879567e+00
step=40 loss=5.075445e+00
step=45 loss=3.897556e+00
step=50 loss=7.987521e+00
step=55 loss=6.030025e-01
step=60 loss=2.352862e+00
step=65 loss=1.140644e+01
step=70 loss=6.080751e-01
step=75 loss=1.648684e+00
step=80 loss=1.819788e+00
step=85 loss=1.696842e+00
step=90 loss=1.492505e+00
step=95 loss=7.896233e-01
Training and evaluating model with k=90
step=0 loss=3.641424e+02
step=5 loss=3.023517e+01
step=10 loss=2.947770e+01
step=15 loss=3.665037e+01
step=20 loss=2.516116e+01
step=25 loss=1.116041e+01
step=30 loss=1.734925e+01
step=35 loss=5.862068e+00
step=40 loss=5.066433e+00
step=45 loss=3.522062e+00
step=50 loss=2.143327e+00
step=55 loss=4.429037e-01
step=60 loss=2.088619e+00
step=65 loss=1.702246e+00
step=70 loss=6.410308e-01
step=75 loss=1.400485e+00
step=80 loss=1.674316e+00
step=85 loss=1.329152e+00
step=90 loss=8.102887e-01
step=95 loss=8.371701e-01
Training and evaluating model with k=95
step=0 loss=1.778483e+02
step=5 loss=5.547726e+01
step=10 loss=2.951029e+01
step=15 loss=1.551979e+01
step=20 loss=1.889112e+01
step=25 loss=1.196119e+01
step=30 loss=1.085899e+01
step=35 loss=7.192739e+00
step=40 loss=3.733768e+00
step=45 loss=5.557602e+00
step=50 loss=2.070664e+00
step=55 loss=3.979801e-01
step=60 loss=1.696159e+00
step=65 loss=1.145331e+00
step=70 loss=3.791802e-01
step=75 loss=1.270231e+00
step=80 loss=1.025605e+00
step=85 loss=1.016559e+00
step=90 loss=6.843807e-01
step=95 loss=7.770262e-01
Training and evaluating model with k=100
step=0 loss=6.804450e+01
step=5 loss=2.196302e+01
step=10 loss=1.623237e+01
step=15 loss=1.723451e+01
step=20 loss=1.299246e+01
step=25 loss=8.417303e+00
step=30 loss=5.049965e+00
step=35 loss=4.639934e+00
step=40 loss=3.516918e+00
step=45 loss=4.408444e+00
step=50 loss=2.611111e+00
step=55 loss=5.629619e-01
step=60 loss=1.104210e+00
step=65 loss=1.335927e+00
step=70 loss=7.219174e-01
step=75 loss=9.611042e-01
step=80 loss=1.335075e+00
step=85 loss=1.035923e+00
step=90 loss=7.757780e-01
step=95 loss=8.031129e-01
Starting fold 2
Training and evaluating model with k=10
step=0 loss=6.012697e+03
step=5 loss=2.847180e+03
step=10 loss=1.833416e+03
step=15 loss=1.010598e+03
step=20 loss=7.071059e+02
step=25 loss=8.013976e+02
step=30 loss=5.415431e+02
step=35 loss=2.607033e+02
step=40 loss=3.553398e+02
step=45 loss=2.965165e+02
step=50 loss=2.052782e+02
step=55 loss=3.833345e+01
step=60 loss=9.234867e+01
step=65 loss=1.087695e+02
step=70 loss=2.781271e+01
step=75 loss=5.088060e+01
step=80 loss=7.618694e+01
step=85 loss=5.356716e+01
step=90 loss=3.308376e+01
step=95 loss=3.397555e+01
Training and evaluating model with k=15
step=0 loss=4.579472e+03
step=5 loss=2.013758e+03
step=10 loss=9.612550e+02
step=15 loss=5.053223e+02
step=20 loss=6.609274e+02
step=25 loss=4.597100e+02
step=30 loss=3.337264e+02
step=35 loss=2.447217e+02
step=40 loss=1.865254e+02
step=45 loss=2.488571e+02
step=50 loss=2.134905e+02
step=55 loss=3.732510e+01
step=60 loss=1.546571e+02
step=65 loss=1.965022e+02
step=70 loss=4.627043e+01
step=75 loss=1.509076e+02
step=80 loss=1.579087e+02
step=85 loss=1.178931e+02
step=90 loss=1.315576e+02
step=95 loss=1.167848e+02
Training and evaluating model with k=20
step=0 loss=1.560668e+03
step=5 loss=7.256690e+02
step=10 loss=3.657170e+02
step=15 loss=2.847737e+02
step=20 loss=2.953590e+02
step=25 loss=1.380324e+02
step=30 loss=1.316347e+02
step=35 loss=1.331378e+02
step=40 loss=9.756519e+01
step=45 loss=1.303400e+02
step=50 loss=7.658222e+01
step=55 loss=2.183940e+01
step=60 loss=3.237041e+01
step=65 loss=5.067358e+01
step=70 loss=8.687634e+00
step=75 loss=2.705107e+01
step=80 loss=2.253972e+01
step=85 loss=1.593120e+01
step=90 loss=2.399102e+01
step=95 loss=1.570618e+01
Training and evaluating model with k=25
step=0 loss=1.664897e+02
step=5 loss=9.340127e+01
step=10 loss=9.099953e+01
step=15 loss=3.819466e+01
step=20 loss=8.448808e+01
step=25 loss=1.288037e+02
step=30 loss=4.547698e+01
step=35 loss=5.532890e+01
step=40 loss=2.064562e+01
step=45 loss=3.869239e+01
step=50 loss=4.008913e+01
step=55 loss=3.388845e+00
step=60 loss=1.545938e+01
step=65 loss=4.361617e+01
step=70 loss=3.414412e+00
step=75 loss=1.281299e+01
step=80 loss=6.292483e+00
step=85 loss=2.448196e+01
step=90 loss=6.630907e+00
step=95 loss=9.459204e+00
Training and evaluating model with k=30
step=0 loss=3.889111e+03
step=5 loss=1.671782e+03
step=10 loss=6.136736e+02
step=15 loss=3.362169e+02
step=20 loss=8.806000e+01
step=25 loss=1.194934e+02
step=30 loss=1.021945e+02
step=35 loss=8.655868e+01
step=40 loss=9.694668e+01
step=45 loss=1.035666e+02
step=50 loss=6.911342e+01
step=55 loss=1.164352e+01
step=60 loss=3.675807e+01
step=65 loss=3.570607e+01
step=70 loss=1.229348e+01
step=75 loss=3.034219e+01
step=80 loss=2.229164e+01
step=85 loss=1.975772e+01
step=90 loss=3.609762e+01
step=95 loss=2.153174e+01
Training and evaluating model with k=35
step=0 loss=9.973228e+02
step=5 loss=1.212975e+02
step=10 loss=1.273384e+02
step=15 loss=9.526994e+01
step=20 loss=6.767818e+01
step=25 loss=6.165872e+01
step=30 loss=4.604758e+01
step=35 loss=3.123869e+01
step=40 loss=2.086694e+01
step=45 loss=1.096286e+01
step=50 loss=1.398594e+01
step=55 loss=2.427650e+00
step=60 loss=1.132396e+01
step=65 loss=1.005392e+01
step=70 loss=4.588590e+00
step=75 loss=6.597969e+00
step=80 loss=5.666791e+00
step=85 loss=9.610756e+00
step=90 loss=6.032396e+00
step=95 loss=6.056313e+00
Training and evaluating model with k=40
step=0 loss=2.336975e+02
step=5 loss=1.394411e+02
step=10 loss=1.056724e+02
step=15 loss=5.628743e+01
step=20 loss=7.008817e+01
step=25 loss=5.021353e+01
step=30 loss=5.975101e+01
step=35 loss=2.818153e+01
step=40 loss=2.430649e+01
step=45 loss=1.410222e+01
step=50 loss=2.275116e+01
step=55 loss=2.155934e+00
step=60 loss=1.098358e+01
step=65 loss=8.580557e+00
step=70 loss=6.282112e+00
step=75 loss=5.118693e+00
step=80 loss=7.013019e+00
step=85 loss=6.766075e+00
step=90 loss=4.840401e+00
step=95 loss=7.268563e+00
Training and evaluating model with k=45
step=0 loss=6.541622e+02
step=5 loss=2.822551e+02
step=10 loss=1.333703e+02
step=15 loss=1.081518e+02
step=20 loss=5.856389e+01
step=25 loss=7.288182e+01
step=30 loss=6.064708e+01
step=35 loss=2.808275e+01
step=40 loss=3.506517e+01
step=45 loss=3.068698e+01
step=50 loss=2.942171e+01
step=55 loss=3.910558e+00
step=60 loss=1.409318e+01
step=65 loss=1.448099e+01
step=70 loss=4.810242e+00
step=75 loss=1.155173e+01
step=80 loss=6.436544e+00
step=85 loss=1.015513e+01
step=90 loss=7.416924e+00
step=95 loss=5.382367e+00
Training and evaluating model with k=50
step=0 loss=1.176551e+02
step=5 loss=1.005152e+02
step=10 loss=5.049581e+01
step=15 loss=5.582708e+01
